query_id,answer
1,4308 4234 4219 4396 3565 4384 1951 4286 4328 4214
2,2646 4219 2802 4384 2521 3843 2944 3168 4009 1923
3,1909 4234 4396 4328 4308 4400 4286 4387 1960 1918
4,4234 2646 2865 4219 4400 1966 4214 4331 2698 2831
5,4214 1951 4308 4320 2698 4219 1747 3690 2232 4286
6,4523 2032 4520 3750 2214 3016 4361 4309 4208 2199
7,4219 4400 2865 2802 2521 4308 1966 2646 3168 4403
8,1951 4234 4214 4532 4387 4308 1958 4286 2698 2646
9,4451 4214 2698 2405 3995 4445 3483 4209 4290 4227
10,4219 2646 4400 4234 1966 4358 4361 2865 4286 4403
11,4219 4400 2646 1966 2865 2696 4384 4308 2831 4234
12,4219 4400 4384 1966 2865 2964 2646 2831 4408 4308
13,4219 2646 1966 2865 4384 4440 4389 4111 4361 4400
14,4397 2962 2646 4219 4214 1951 4227 4290 4320 3400
15,4361 4219 1966 2037 2646 4406 4384 4509 3567 2865
16,4219 2646 4440 4384 4389 4395 4331 4361 2865 4387
17,1951 3482 2196 2222 4338 4214 4273 3481 3265 4283
18,4219 4234 4308 2646 4400 1899 4396 4408 4403 4361
19,1951 4214 2646 4320 4219 2698 4234 3467 4354 4362
20,4219 2865 2646 1966 4400 4384 4308 2696 4234 3078
21,4214 2698 4395 2665 1951 4366 4219 4424 4308 4451
22,4234 4445 4017 4246 3889 2154 4348 4420 1873 4362
23,4286 4328 4234 2462 1951 4396 1907 2863 4045 4218
24,4219 4440 4389 2646 4384 2865 2521 1966 4361 4387
25,4214 1951 2698 4234 2665 4451 4424 3478 3314 4366
26,4219 2646 4440 4389 2865 4394 4361 4234 1951 4397
27,4219 4384 1966 2646 4387 4440 2865 4389 1958 3470
28,4400 2865 4219 4234 4308 4403 2646 1909 4387 4384
29,4219 2646 2865 1966 4400 4406 4384 4234 3844 2696
30,1951 4219 2646 4214 4320 4308 4234 4286 3467 2665
31,4400 4219 4234 4308 4408 2646 4403 1960 2831 4361
32,4234 4507 4397 2962 2646 4384 4506 3467 4138 1951
33,4219 1966 2646 4384 2865 4440 4389 2866 1958 4530
34,4219 2646 2865 1966 4400 4384 4234 4308 4331 4361
35,4396 4286 4328 1907 4234 2462 4308 4403 1951 4361
36,4219 4387 2646 4384 1958 2865 1966 4504 4389 4400
37,4219 4400 4387 1966 4408 4358 4403 2865 2646 4361
38,4219 1966 4384 2646 4400 1958 4387 4440 2865 4389
39,1951 4234 3467 4320 4214 2551 4331 2698 4045 3265
40,4219 2646 4234 4331 1966 4361 4400 4308 2865 4384
41,4234 4361 4406 3844 1951 4396 4362 2646 1909 4308
42,4219 2646 4387 1958 4384 4308 4234 4111 4400 2865
43,4234 4219 4308 4403 4396 4328 4361 4362 1909 1951
44,4219 2865 1966 2646 4400 4509 2866 4384 2696 4234
45,4219 2865 2646 1966 4384 4406 2696 4400 4387 4234
46,2665 4214 2698 4231 3553 4398 4361 1951 4408 4308
47,4234 2646 4214 1951 4219 4361 4308 4406 4384 1958
48,4219 4384 1966 4387 2646 1958 4440 2865 4389 3470
49,4219 2646 4308 4358 4387 4400 1899 4408 4403 4407
50,1951 2198 4234 4320 3778 1899 4286 4301 3467 2551
51,4214 4395 4219 4424 2646 2665 2943 4361 4234 4184
52,4424 4395 4214 4219 4234 2646 4361 4308 2665 2698
53,2646 4219 4361 4400 4234 2865 4358 4403 4387 4408
54,4395 3992 4424 3478 4529 4234 4410 4214 4521 4209
55,1951 3467 4320 4532 4214 2802 2665 3843 4502 2944
56,4403 4400 4308 3088 4234 2408 4219 2646 3209 4361
57,3028 4423 2937 4496 3054 3688 1746 3679 4364 2920
58,4219 2646 4384 4440 1966 2865 4389 4313 4361 3077
59,4219 2865 2646 1966 4384 1958 4400 4508 4387 4509
60,2646 4219 4400 2865 1966 4384 4234 2696 4403 3078
61,4219 2646 4389 4440 4384 4395 4308 4361 3565 4531
62,4219 2964 2865 4400 2646 1966 4384 4234 4408 3470
63,4219 4400 4403 4387 4234 4451 2646 4384 4308 2665
64,1909 4234 1918 1907 4403 4400 4407 4396 4328 4308
65,4440 2948 3128 4375 2243 4307 4364 2220 4371 2695
66,4440 2663 2788 2968 4276 3482 3481 4163 2895 4266
67,4384 4219 1966 2646 4361 4313 4389 4509 2865 3470
68,4440 3595 4404 3151 2942 3150 4205 2890 2204 3932
69,2646 4219 4400 4361 4234 2865 1966 4331 4384 4403
70,4396 4328 4234 1907 1909 4286 3467 1951 4308 1958
